Date,Store ID,Product ID,Quantity Sold
2023-01-01,Store001,Prod001,12
2023-01-01,Store002,Prod002,15
2023-01-02,Store003,Prod003,8
2023-01-02,Store004,Prod004,13
2023-01-03,Store005,Prod005,6
2023-01-03,Store006,Prod006,21
2023-01-04,Store007,Prod007,10
2023-01-04,Store008,Prod008,18
2023-01-05,Store009,Prod009,14
2023-01-05,Store010,Prod010,11
2023-01-06,Store001,Prod011,16
2023-01-06,Store002,Prod012,17
2023-01-07,Store003,Prod013,9
2023-01-07,Store004,Prod014,14
2023-01-08,Store005,Prod015,7
2023-01-08,Store006,Prod016,22
2023-01-09,Store007,Prod017,11
2023-01-09,Store008,Prod018,19
2023-01-10,Store009,Prod019,13
2023-01-10,Store010,Prod020,10
2023-01-11,Store001,Prod021,15
2023-01-11,Store002,Prod022,16
2023-01-12,Store003,Prod023,8
2023-01-12,Store004,Prod024,13
2023-01-13,Store005,Prod025,6
2023-01-13,Store006,Prod006,21
2023-01-14,Store007,Prod007,10
2023-01-14,Store008,Prod008,18
2023-01-15,Store009,Prod009,14
2023-01-15,Store010,Prod010,11
2023-01-16,Store001,Prod011,16
2023-01-16,Store002,Prod012,17
2023-01-17,Store003,Prod013,9
2023-01-17,Store004,Prod014,14
2023-01-18,Store005,Prod015,7
2023-01-18,Store006,Prod016,22
2023-01-19,Store007,Prod017,11
2023-01-19,Store008,Prod018,19
2023-01-20,Store009,Prod019,13
2023-01-20,Store010,Prod020,10
2023-01-21,Store001,Prod021,15
2023-01-21,Store002,Prod022,16
2023-01-22,Store003,Prod023,8
2023-01-22,Store004,Prod024,13
2023-01-23,Store005,Prod025,6
2023-01-23,Store006,Prod006,21
2023-01-24,Store007,Prod007,10
2023-01-24,Store008,Prod008,18
2023-01-25,Store009,Prod009,14
2023-01-25,Store010,Prod010,11
2023-01-26,Store001,Prod011,16
2023-01-26,Store002,Prod012,17
2023-01-27,Store003,Prod013,9
2023-01-27,Store004,Prod014,14
2023-01-28,Store005,Prod015,7
2023-01-28,Store006,Prod016,22
2023-01-29,Store007,Prod017,11
2023-01-29,Store008,Prod018,19
2023-01-30,Store009,Prod019,13
2023-01-30,Store010,Prod020,10
2023-01-31,Store001,Prod021,15
2023-01-31,Store002,Prod022,16
