Date,Store ID,Product ID,Quantity Sold
2023-05-01,Store001,Prod001,16
2023-05-01,Store002,Prod002,19
2023-05-02,Store003,Prod003,11
2023-05-02,Store004,Prod004,14
2023-05-03,Store005,Prod005,9
2023-05-03,Store006,Prod006,25
2023-05-04,Store007,Prod007,13
2023-05-04,Store008,Prod008,21
2023-05-05,Store009,Prod009,17
2023-05-05,Store010,Prod010,13
2023-05-06,Store001,Prod011,18
2023-05-06,Store002,Prod012,20
2023-05-07,Store003,Prod013,10
2023-05-07,Store004,Prod014,15
2023-05-08,Store005,Prod015,8
2023-05-08,Store006,Prod016,26
2023-05-09,Store007,Prod017,14
2023-05-09,Store008,Prod018,22
2023-05-10,Store009,Prod019,16
2023-05-10,Store010,Prod020,12
2023-05-11,Store001,Prod021,17
2023-05-11,Store002,Prod022,19
2023-05-12,Store003,Prod023,11
2023-05-12,Store004,Prod024,14
2023-05-13,Store005,Prod025,9
2023-05-13,Store006,Prod006,25
2023-05-14,Store007,Prod007,13
2023-05-14,Store008,Prod008,21
2023-05-15,Store009,Prod009,17
2023-05-15,Store010,Prod010,13
2023-05-16,Store001,Prod011,18
2023-05-16,Store002,Prod012,20
2023-05-17,Store003,Prod013,10
2023-05-17,Store004,Prod014,15
2023-05-18,Store005,Prod015,8
2023-05-18,Store006,Prod016,26
2023-05-19,Store007,Prod017,14
2023-05-19,Store008,Prod018,22
2023-05-20,Store009,Prod019,16
2023-05-20,Store010,Prod020,12
2023-05-21,Store001,Prod021,17
2023-05-21,Store002,Prod022,19
2023-05-22,Store003,Prod023,11
2023-05-22,Store004,Prod024,14
2023-05-23,Store005,Prod025,9
2023-05-23,Store006,Prod006,25
2023-05-24,Store007,Prod007,13
2023-05-24,Store008,Prod008,21
2023-05-25,Store009,Prod009,17
2023-05-25,Store010,Prod010,13
2023-05-26,Store001,Prod011,18
2023-05-26,Store002,Prod012,20
2023-05-27,Store003,Prod013,10
2023-05-27,Store004,Prod014,15
2023-05-28,Store005,Prod015,8
2023-05-28,Store006,Prod016,26
2023-05-29,Store007,Prod017,14
2023-05-29,Store008,Prod018,22
2023-05-30,Store009,Prod019,16
2023-05-30,Store010,Prod020,12
2023-05-31,Store001,Prod021,17
2023-05-31,Store002,Prod022,19
