Date,Open Price,High Price,Low Price,Close_Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-Aug-23,2556.65,2582.15,2550.65,2574.9,2570.091748,87871,6679,225836532,36048,41.02,31.5,18.25
14-Aug-23,2533.05,2582,2524.2,2576.75,2560.186455,407900,30640,1044300055,229691,56.31,57.8,43.7
11-Aug-23,2535.45,2558.3,2512.1,2548,2535.271641,297470,14039,754167255,191875,64.5,46.2,12.55
10-Aug-23,2527,2550,2508.8,2535.65,2529.852341,200827,9920,508062656,130994,65.23,41.2,8.65
09-Aug-23,2507,2529.4,2481,2523.55,2490.262587,212798,13332,529922898,160005,75.19,48.4,16.55
08-Aug-23,2525.3,2534.6,2499.45,2505.65,2513.187117,151755,10346,381388711,113420,74.74,35.15,-19.65
07-Aug-23,2515,2528.35,2505.05,2523.45,2518.678487,293130,16805,738300225,203159,69.31,23.3,8.45
04-Aug-23,2485,2517.2,2472,2510.15,2504.988822,709795,28046,1778028541,171724,24.19,45.2,25.15
03-Aug-23,2471.45,2499.9,2458,2474.95,2472.542454,210947,21250,521575413,84371,40,41.9,3.5
02-Aug-23,2500,2511.8,2463.2,2486.35,2484.221026,184490,13167,458313937,113655,61.6,48.6,-13.65
01-Aug-23,2547.85,2559,2505.9,2512.65,2525.044327,170213,13065,429795370,109731,64.47,53.1,-35.2
31-Jul-23,2527.9,2553.65,2518.75,2547.85,2536.486486,85020,8241,215652081,43609,51.29,34.9,19.95
28-Jul-23,2509.05,2541.9,2501,2527.6,2523.001205,644967,34907,1627252518,92006,14.27,40.9,18.55
27-Jul-23,2529,2538,2491.45,2506.3,2513.374722,101139,9612,254200206,38886,38.45,46.55,-22.7
26-Jul-23,2480.1,2547.25,2480.1,2525.7,2523.217255,132959,11970,335484443,36554,27.49,67.15,45.6
25-Jul-23,2491.5,2505,2480.05,2484.7,2492.556074,199238,19241,496611887,85886,43.11,24.95,-6.8
24-Jul-23,2484,2514.8,2469.55,2487.55,2491.208659,228305,18133,568755393,86524,37.9,45.25,3.55
21-Jul-23,2603,2613.8,2523.35,2536.2,2544.593695,896988,43072,2282470009,154263,17.2,90.45,-66.8
20-Jul-23,2589,2632,2582,2619.8,2614.322367,400680,17951,1047506686,177445,44.29,50,30.8
